month,valid_month,reconstructed_month,effective_month,ocean_mean_ewh_mm,source_l2_file
2016-05,1,0,1,-10.1698936331,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016129-2016152_GRAC_UTCSR_BA01_0600.gfc
2016-06,1,0,1,-4.42538493634,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016153-2016182_GRAC_UTCSR_BA01_0600.gfc
2016-07,1,0,1,1.12208730055,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016183-2016211_GRAC_UTCSR_BA01_0600.gfc
2016-08,1,0,1,4.93689852026,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016221-2016247_GRAC_UTCSR_BA01_0600.gfc
2016-09,0,1,1,7.64848805635,
2016-10,0,1,1,6.76975717885,
2016-11,1,0,1,4.3502590484,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016319-2016345_GRAC_UTCSR_BA01_0600.gfc
2016-12,1,0,1,2.72202255513,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2016346-2017006_GRAC_UTCSR_BA01_0600.gfc
2017-01,1,0,1,-7.32760621085,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2017007-2017034_GRAC_UTCSR_BA01_0600.gfc
2017-02,0,1,1,-8.62518393381,
2017-03,1,0,1,-13.8213364549,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2017076-2017104_GRAC_UTCSR_BA01_0600.gfc
2017-04,1,0,1,-15.9275323627,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2017100-2017128_GRAC_UTCSR_BA01_0600.gfc
2017-05,1,0,1,-12.6275011473,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2017123-2017142_GRAC_UTCSR_BA01_0600.gfc
2017-06,1,0,1,-13.0033130768,D:\temp_sealevel_data\grace_csr_ddk1\kfilter_DDK1_GSM-2_2017143-2017179_GRAC_UTCSR_BA01_0600.gfc
2017-07,0,1,1,-2.38980396112,
2017-08,0,1,1,1.76498655684,
2017-09,0,1,1,3.28543249968,
2017-10,0,1,1,3.05322534314,
2017-11,0,1,1,1.77206517973,
2017-12,0,1,1,-0.621021375443,
2018-01,0,1,1,-4.51345562193,
2018-02,0,1,1,-9.25830849774,
2018-03,0,1,1,-13.0575982493,
2018-04,0,1,1,-14.065214574,
2018-05,0,1,1,-11.6832545828,
2018-06,1,0,1,-8.18556135691,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2018152-2018181_GRFO_UTCSR_BA01_0603.gfc
2018-07,1,0,1,-0.674774058353,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2018182-2018199_GRFO_UTCSR_BA01_0603.gfc
2018-08,0,1,1,3.26459648052,
2018-09,0,1,1,5.99784494167,
2018-10,1,0,1,8.34867175163,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2018295-2018313_GRFO_UTCSR_BA01_0603.gfc
2018-11,1,0,1,5.52981980462,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2018305-2018334_GRFO_UTCSR_BA01_0603.gfc
2018-12,1,0,1,-0.56374975654,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2018335-2018365_GRFO_UTCSR_BA01_0603.gfc
2019-01,1,0,1,-1.86384297498,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019001-2019031_GRFO_UTCSR_BA01_0603.gfc
2019-02,1,0,1,-4.78371908989,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019026-2019066_GRFO_UTCSR_BA01_0603.gfc
2019-03,1,0,1,-5.83219346456,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019060-2019090_GRFO_UTCSR_BA01_0603.gfc
2019-04,1,0,1,-8.77807760841,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019091-2019120_GRFO_UTCSR_BA01_0603.gfc
2019-05,1,0,1,-8.26457015727,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019121-2019151_GRFO_UTCSR_BA01_0603.gfc
2019-06,1,0,1,-2.62340080705,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019152-2019181_GRFO_UTCSR_BA01_0603.gfc
2019-07,1,0,1,7.78869832347,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019182-2019212_GRFO_UTCSR_BA01_0603.gfc
2019-08,1,0,1,10.7404630185,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019213-2019243_GRFO_UTCSR_BA01_0603.gfc
2019-09,1,0,1,13.8480447192,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019244-2019273_GRFO_UTCSR_BA01_0603.gfc
2019-10,1,0,1,12.0186699439,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019274-2019304_GRFO_UTCSR_BA01_0603.gfc
2019-11,1,0,1,8.26960110807,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019305-2019334_GRFO_UTCSR_BA01_0603.gfc
2019-12,1,0,1,3.39299612659,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2019335-2019365_GRFO_UTCSR_BA01_0603.gfc
2020-01,1,0,1,2.95948087289,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020001-2020031_GRFO_UTCSR_BA01_0603.gfc
2020-02,1,0,1,-3.71545992613,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020032-2020060_GRFO_UTCSR_BA01_0603.gfc
2020-03,1,0,1,-0.467850260465,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020061-2020091_GRFO_UTCSR_BA01_0603.gfc
2020-04,1,0,1,-7.83635824166,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020092-2020121_GRFO_UTCSR_BA01_0603.gfc
2020-05,1,0,1,-9.30969172476,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020122-2020152_GRFO_UTCSR_BA01_0603.gfc
2020-06,1,0,1,0.397292873332,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020153-2020182_GRFO_UTCSR_BA01_0603.gfc
2020-07,1,0,1,13.1829675816,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020183-2020213_GRFO_UTCSR_BA01_0603.gfc
2020-08,1,0,1,12.8578984294,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020214-2020244_GRFO_UTCSR_BA01_0603.gfc
2020-09,1,0,1,11.2862069533,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020245-2020274_GRFO_UTCSR_BA01_0603.gfc
2020-10,1,0,1,9.79746512924,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020275-2020305_GRFO_UTCSR_BA01_0603.gfc
2020-11,1,0,1,9.01966455925,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020306-2020335_GRFO_UTCSR_BA01_0603.gfc
2020-12,1,0,1,8.6158209264,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2020336-2020366_GRFO_UTCSR_BA01_0603.gfc
2021-01,1,0,1,4.18723700632,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021001-2021031_GRFO_UTCSR_BA01_0603.gfc
2021-02,1,0,1,-0.890114488825,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021032-2021059_GRFO_UTCSR_BA01_0603.gfc
2021-03,1,0,1,-5.75107712238,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021060-2021090_GRFO_UTCSR_BA01_0603.gfc
2021-04,1,0,1,-6.89950643381,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021091-2021120_GRFO_UTCSR_BA01_0603.gfc
2021-05,1,0,1,-1.51897554698,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021121-2021151_GRFO_UTCSR_BA01_0603.gfc
2021-06,1,0,1,3.63767599259,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021152-2021181_GRFO_UTCSR_BA01_0603.gfc
2021-07,1,0,1,7.21620472106,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021182-2021212_GRFO_UTCSR_BA01_0603.gfc
2021-08,1,0,1,13.4679586167,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021213-2021243_GRFO_UTCSR_BA01_0603.gfc
2021-09,1,0,1,13.5665397559,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021244-2021273_GRFO_UTCSR_BA01_0603.gfc
2021-10,1,0,1,16.9052336978,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021274-2021304_GRFO_UTCSR_BA01_0603.gfc
2021-11,1,0,1,14.1893720559,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021305-2021334_GRFO_UTCSR_BA01_0603.gfc
2021-12,1,0,1,11.8742402998,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2021335-2021365_GRFO_UTCSR_BA01_0603.gfc
2022-01,1,0,1,3.56333151381,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022001-2022031_GRFO_UTCSR_BA01_0603.gfc
2022-02,1,0,1,1.21247284432,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022032-2022059_GRFO_UTCSR_BA01_0603.gfc
2022-03,1,0,1,-2.40233181282,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022060-2022090_GRFO_UTCSR_BA01_0603.gfc
2022-04,1,0,1,-4.04458263687,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022091-2022120_GRFO_UTCSR_BA01_0603.gfc
2022-05,1,0,1,0.959595060165,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022121-2022151_GRFO_UTCSR_BA01_0603.gfc
2022-06,1,0,1,0.623085632467,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022152-2022181_GRFO_UTCSR_BA01_0603.gfc
2022-07,1,0,1,10.8568771561,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022182-2022212_GRFO_UTCSR_BA01_0603.gfc
2022-08,1,0,1,13.8248647372,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022213-2022243_GRFO_UTCSR_BA01_0603.gfc
2022-09,1,0,1,15.5730823814,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022244-2022273_GRFO_UTCSR_BA01_0603.gfc
2022-10,1,0,1,21.1013308041,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022274-2022304_GRFO_UTCSR_BA01_0603.gfc
2022-11,1,0,1,18.5126539287,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022305-2022334_GRFO_UTCSR_BA01_0603.gfc
2022-12,1,0,1,10.918857741,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2022335-2022365_GRFO_UTCSR_BA01_0603.gfc
2023-01,1,0,1,-1.47319035165,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023001-2023031_GRFO_UTCSR_BA01_0603.gfc
2023-02,1,0,1,-8.7988504809,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023032-2023059_GRFO_UTCSR_BA01_0603.gfc
2023-03,1,0,1,-7.56536960069,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023060-2023090_GRFO_UTCSR_BA01_0603.gfc
2023-04,1,0,1,-11.8837216831,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023091-2023120_GRFO_UTCSR_BA01_0603.gfc
2023-05,1,0,1,-9.88174540319,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023121-2023151_GRFO_UTCSR_BA01_0603.gfc
2023-06,1,0,1,-4.66907429606,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023152-2023181_GRFO_UTCSR_BA01_0603.gfc
2023-07,1,0,1,3.48500199213,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023182-2023212_GRFO_UTCSR_BA01_0603.gfc
2023-08,1,0,1,6.56461860497,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023213-2023243_GRFO_UTCSR_BA01_0603.gfc
2023-09,1,0,1,4.89002807878,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023244-2023273_GRFO_UTCSR_BA01_0603.gfc
2023-10,1,0,1,12.2530676558,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023274-2023304_GRFO_UTCSR_BA01_0603.gfc
2023-11,1,0,1,14.1583015791,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023305-2023334_GRFO_UTCSR_BA01_0603.gfc
2023-12,1,0,1,7.36345725032,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2023335-2023365_GRFO_UTCSR_BA01_0603.gfc
2024-01,1,0,1,3.00359881869,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024001-2024031_GRFO_UTCSR_BA01_0603.gfc
2024-02,1,0,1,-2.33836323704,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024032-2024060_GRFO_UTCSR_BA01_0603.gfc
2024-03,1,0,1,-1.66056876851,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024061-2024091_GRFO_UTCSR_BA01_0603.gfc
2024-04,1,0,1,-0.722170095773,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024092-2024121_GRFO_UTCSR_BA01_0603.gfc
2024-05,1,0,1,-1.26764121204,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024122-2024152_GRFO_UTCSR_BA01_0603.gfc
2024-06,1,0,1,-2.47515845938,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024153-2024182_GRFO_UTCSR_BA01_0603.gfc
2024-07,1,0,1,2.03634687977,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024183-2024213_GRFO_UTCSR_BA01_0603.gfc
2024-08,1,0,1,4.62124291428,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024214-2024244_GRFO_UTCSR_BA01_0603.gfc
2024-09,1,0,1,12.9474921706,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024245-2024274_GRFO_UTCSR_BA01_0603.gfc
2024-10,1,0,1,11.696415325,D:\AAAA海平面变化\SaGEA-main(L2-L3)原版\SaGEA-main\data\L2_SH_products\ICGEM\GSM-2_2024275-2024305_GRFO_UTCSR_BA01_0603.gfc
